case,scope,lambda,metric,n,mean_diff_ablation_minus_correct,median_diff,ci95_low,ci95_high,p_value_sign_flip,p_value_holm,significant_holm,correct_path,ablation_path
swapped,lambda,0.0083,ms_ssim,1000,-0.039621,-0.028,-0.04414105,-0.035137675,9.9990001e-05,0.004499550045,1,results/mj_0_0083_results.txt,results/mj_0_0083_swapped_prompts_results.txt
swapped,lambda,0.0083,bpp,1000,0.0009468,0.0006,0.00083499,0.0010633025,9.9990001e-05,0.004499550045,1,results/mj_0_0083_results.txt,results/mj_0_0083_swapped_prompts_results.txt
swapped,lambda,0.015,psnr,1000,-0.02794,-0.017,-0.031118025,-0.0248009,9.9990001e-05,0.004499550045,1,results/mj_0_015_results.txt,results/mj_0_015_swapped_prompts_results.txt
swapped,lambda,0.015,ms_ssim,1000,-0.043114,-0.027,-0.047845125,-0.038545725,9.9990001e-05,0.004499550045,1,results/mj_0_015_results.txt,results/mj_0_015_swapped_prompts_results.txt
swapped,lambda,0.015,bpp,1000,0.0010783,0.0007,0.0009371975,0.0012293,9.9990001e-05,0.004499550045,1,results/mj_0_015_results.txt,results/mj_0_015_swapped_prompts_results.txt
swapped,lambda,0.0275,psnr,1000,-0.026987,-0.017,-0.030064075,-0.024035,9.9990001e-05,0.004499550045,1,results/mj_0_0275_results.txt,results/mj_0_0275_swapped_prompts_results.txt
swapped,lambda,0.0275,ms_ssim,1000,-0.040981,-0.026,-0.0456542,-0.036387775,9.9990001e-05,0.004499550045,1,results/mj_0_0275_results.txt,results/mj_0_0275_swapped_prompts_results.txt
swapped,lambda,0.0275,bpp,1000,0.0009861,0.00075,0.0008717,0.0010985,9.9990001e-05,0.004499550045,1,results/mj_0_0275_results.txt,results/mj_0_0275_swapped_prompts_results.txt
swapped,lambda,0.05,psnr,1000,-0.02472,-0.015,-0.02793905,-0.021739,9.9990001e-05,0.004499550045,1,results/mj_0_05_results.txt,results/mj_0_05_swapped_prompts_results.txt
swapped,lambda,0.05,ms_ssim,1000,-0.034462,-0.022,-0.038590025,-0.030440875,9.9990001e-05,0.004499550045,1,results/mj_0_05_results.txt,results/mj_0_05_swapped_prompts_results.txt
swapped,lambda,0.05,bpp,1000,0.0009638,0.0006,0.0008107975,0.0011251025,9.9990001e-05,0.004499550045,1,results/mj_0_05_results.txt,results/mj_0_05_swapped_prompts_results.txt
